Level1,Level2,Level3,Employment,Mean_Hourly_Wage,Mean_Annual_Wage,Hourly_Wage
Construction and extraction occupations,"Helpers, construction trades.......................................................","Helpers--painters, paperhangers, plasterers, and stucco masons...................","7,220",19.65,"40,880",18.34
Construction and extraction occupations,"Helpers, construction trades.......................................................","Helpers--pipelayers, plumbers, pipefitters, and steamfitters.....................","43,640",20.06,"41,720",18.88
Construction and extraction occupations,"Helpers, construction trades.......................................................",Helpers--roofers.................................................................,"5,170",20.23,"42,070",19.51
Construction and extraction occupations,"Helpers, construction trades.......................................................","Helpers, construction trades, all other..........................................","25,510",21.17,"44,040",19.60
Construction and extraction occupations,Other construction and related workers.............................................,,"464,570",30.15,"62,700",27.17
Construction and extraction occupations,Other construction and related workers.............................................,Construction and building inspectors..............................................,"137,210",36.75,"76,430",34.67
Construction and extraction occupations,Other construction and related workers.............................................,Elevator and escalator installers and repairers...................................,"23,340",50.42,"104,860",51.24
Construction and extraction occupations,Other construction and related workers.............................................,Fence erectors....................................................................,"22,640",24.31,"50,550",22.57
Construction and extraction occupations,Other construction and related workers.............................................,Hazardous materials removal workers...............................................,"50,570",26.80,"55,740",23.31
Construction and extraction occupations,Other construction and related workers.............................................,Highway maintenance workers.......................................................,"151,750",24.72,"51,410",23.59
Construction and extraction occupations,Other construction and related workers.............................................,Rail-track laying and maintenance equipment operators.............................,"16,480",32.82,"68,270",32.39
Construction and extraction occupations,Other construction and related workers.............................................,Septic tank servicers and sewer pipe cleaners.....................................,"29,050",25.35,"52,730",23.62
Construction and extraction occupations,Other construction and related workers.............................................,Miscellaneous construction and related workers....................................,"33,530",25.44,"52,910",23.14
Construction and extraction occupations,Extraction workers.................................................................,,"212,920",28.39,"59,040",26.93
Construction and extraction occupations,Extraction workers.................................................................,"Derrick, rotary drill, and service unit operators, oil and gas....................","68,250",30.45,"63,330",28.68
Construction and extraction occupations,Extraction workers.................................................................,"Derrick operators, oil and gas...................................................","11,040",30.05,"62,490",30.16
Construction and extraction occupations,Extraction workers.................................................................,"Rotary drill operators, oil and gas..............................................","13,090",33.69,"70,080",31.26
Construction and extraction occupations,Extraction workers.................................................................,"Service unit operators, oil and gas..............................................","44,120",29.58,"61,530",27.88
Construction and extraction occupations,Extraction workers.................................................................,Surface mining machine operators and earth drillers...............................,"51,620",28.69,"59,680",26.93
Construction and extraction occupations,Extraction workers.................................................................,"Excavating and loading machine and dragline operators, surface mining............","34,210",27.82,"57,860",25.26
Construction and extraction occupations,Extraction workers.................................................................,"Earth drillers, except oil and gas...............................................","17,410",30.41,"63,260",28.65
Construction and extraction occupations,Extraction workers.................................................................,"Explosives workers, ordnance handling experts, and blasters.......................","5,680",32.13,"66,840",28.42
Construction and extraction occupations,Extraction workers.................................................................,Underground mining machine operators..............................................,"26,170",31.94,"66,430",32.10
Construction and extraction occupations,Extraction workers.................................................................,Continuous mining machine operators..............................................,"14,340",30.73,"63,920",30.47
Construction and extraction occupations,Extraction workers.................................................................,"Roof bolters, mining.............................................................","2,230",35.94,"74,760",36.85
Construction and extraction occupations,Extraction workers.................................................................,"Loading and moving machine operators, underground mining.........................","6,130",32.92,"68,470",33.11
Construction and extraction occupations,Extraction workers.................................................................,"Underground mining machine operators, all other..................................","3,480",32.61,"67,830",32.32
Construction and extraction occupations,Extraction workers.................................................................,"Rock splitters, quarry............................................................","3,080",24.30,"50,540",22.82
Construction and extraction occupations,Extraction workers.................................................................,"Roustabouts, oil and gas..........................................................","45,330",23.59,"49,060",22.84
Construction and extraction occupations,Extraction workers.................................................................,Helpers--extraction workers.......................................................,"6,720",24.20,"50,330",23.27
Construction and extraction occupations,Extraction workers.................................................................,"Extraction workers, all other.....................................................","6,070",26.34,"54,780",24.09
"Installation, maintenance, and repair occupations",,,"6,045,020",29.63,"61,640",27.99
"Installation, maintenance, and repair occupations","Supervisors of installation, maintenance, and repair workers.......................",,"600,680",39.87,"82,930",37.64
"Installation, maintenance, and repair occupations","Supervisors of installation, maintenance, and repair workers.......................","First-line supervisors of mechanics, installers, and repairers....................","600,680",39.87,"82,930",37.64
"Installation, maintenance, and repair occupations","Electrical and electronic equipment mechanics, installers, and repairers...........",,"479,930",31.25,"65,000",29.32
"Installation, maintenance, and repair occupations","Electrical and electronic equipment mechanics, installers, and repairers...........","Computer, automated teller, and office machine repairers..........................","73,010",23.95,"49,820",22.53
"Installation, maintenance, and repair occupations","Electrical and electronic equipment mechanics, installers, and repairers...........",Radio and telecommunications equipment installers and repairers...................,"165,290",32.13,"66,820",30.15
"Installation, maintenance, and repair occupations","Electrical and electronic equipment mechanics, installers, and repairers...........","Radio, cellular, and tower equipment installers and repairers....................","11,400",33.26,"69,180",30.86
"Installation, maintenance, and repair occupations","Electrical and electronic equipment mechanics, installers, and repairers...........","Telecommunications equipment installers and repairers, except line installers....","153,890",32.04,"66,650",30.11
"Installation, maintenance, and repair occupations","Electrical and electronic equipment mechanics, installers, and repairers...........",repairers........................................................................,"241,630",32.86,"68,350",30.35
"Installation, maintenance, and repair occupations","Electrical and electronic equipment mechanics, installers, and repairers...........",Avionics technicians.............................................................,"20,900",39.59,"82,350",39.13
"Installation, maintenance, and repair occupations","Electrical and electronic equipment mechanics, installers, and repairers...........","Electric motor, power tool, and related repairers................................","16,570",27.32,"56,820",25.96
"Installation, maintenance, and repair occupations","Electrical and electronic equipment mechanics, installers, and repairers...........","Electrical and electronics installers and repairers, transportation equipment....","7,310",38.93,"80,980",39.77
"Installation, maintenance, and repair occupations","Electrical and electronic equipment mechanics, installers, and repairers...........","Electrical and electronics repairers, commercial and industrial equipment........","59,990",35.07,"72,950",34.28
"Installation, maintenance, and repair occupations","Electrical and electronic equipment mechanics, installers, and repairers...........","Electrical and electronics repairers, powerhouse, substation, and relay..........","23,040",46.86,"97,460",48.53
"Installation, maintenance, and repair occupations","Electrical and electronic equipment mechanics, installers, and repairers...........","Electronic equipment installers and repairers, motor vehicles....................","10,140",24.16,"50,240",23.05
"Installation, maintenance, and repair occupations","Electrical and electronic equipment mechanics, installers, and repairers...........",Audiovisual equipment installers and repairers...................................,"22,170",26.80,"55,740",24.34
"Installation, maintenance, and repair occupations","Electrical and electronic equipment mechanics, installers, and repairers...........",Security and fire alarm systems installers.......................................,"81,510",28.87,"60,040",28.51
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",,"1,732,480",28.31,"58,880",27.03
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",Aircraft mechanics and service technicians........................................,"136,390",38.84,"80,780",37.83
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",Automotive technicians and repairers..............................................,"863,000",26.82,"55,780",24.02
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",Automotive body and related repairers............................................,"155,220",28.28,"58,830",24.85
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",Automotive glass installers and repairers........................................,"18,940",23.84,"49,580",22.72
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",Automotive service technicians and mechanics.....................................,"688,840",26.57,"55,260",23.88
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",Bus and truck mechanics and diesel engine specialists.............................,"287,230",30.04,"62,480",29.15
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",Heavy vehicle and mobile equipment service technicians and mechanics..............,"235,450",31.57,"65,660",30.16
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",Farm equipment mechanics and service technicians.................................,"36,880",26.58,"55,290",25.04
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................","Mobile heavy equipment mechanics, except engines.................................","180,270",32.49,"67,580",30.76
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",Rail car repairers...............................................................,"18,300",32.50,"67,610",31.58
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",Small engine mechanics............................................................,"72,500",24.64,"51,240",23.19
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",Motorboat mechanics and service technicians......................................,"24,250",27.14,"56,450",26.42
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",Motorcycle mechanics.............................................................,"14,010",23.87,"49,650",22.69
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",Outdoor power equipment and other small engine mechanics.........................,"34,240",23.18,"48,200",22.38
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................","Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers...","137,920",19.98,"41,560",18.25
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",Bicycle repairers................................................................,"12,590",19.98,"41,550",19.40
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",Recreational vehicle service technicians.........................................,"18,710",26.63,"55,380",24.30
"Installation, maintenance, and repair occupations","Vehicle and mobile equipment mechanics, installers, and repairers..................",Tire repairers and changers......................................................,"106,620",18.82,"39,140",17.85
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",,"3,231,930",28.20,"58,660",26.34
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Control and valve installers and repairers........................................,"74,890",32.60,"67,810",29.61
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Mechanical door repairers........................................................,"27,970",26.01,"54,110",24.54
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................","Control and valve installers and repairers, except mechanical door...............","46,920",36.52,"75,970",35.91
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................","Heating, air conditioning, and refrigeration mechanics and installers.............","396,870",30.14,"62,690",28.75
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Home appliance repairers..........................................................,"31,940",25.76,"53,580",23.76
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................","Industrial machinery installation, repair, and maintenance workers................","520,240",32.06,"66,680",30.53
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Industrial machinery mechanics...................................................,"421,940",32.29,"67,160",30.65
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................","Maintenance workers, machinery...................................................","56,540",29.72,"61,820",29.09
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Millwrights......................................................................,"40,660",33.00,"68,640",31.33
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................","Refractory materials repairers, except brickmasons...............................","1,100",29.56,"61,480",28.15
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Line installers and repairers.....................................................,"222,040",39.56,"82,280",38.99
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Electrical power-line installers and repairers...................................,"123,680",43.32,"90,110",44.50
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Telecommunications line installers and repairers.................................,"98,360",34.83,"72,440",33.90
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Precision instrument and equipment repairers......................................,"79,540",31.52,"65,560",29.54
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Camera and photographic equipment repairers......................................,"2,010",25.69,"53,420",23.70
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Medical equipment repairers......................................................,"60,830",32.12,"66,810",30.11
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Musical instrument repairers and tuners..........................................,"5,730",23.57,"49,020",21.79
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Watch and clock repairers........................................................,"1,300",30.03,"62,450",29.18
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................","Precision instrument and equipment repairers, all other..........................","9,680",33.86,"70,420",32.25
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................","Maintenance and repair workers, general...........................................","1,531,700",25.21,"52,430",23.38
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Wind turbine service technicians..................................................,"11,220",32.49,"67,580",30.09
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................","Miscellaneous installation, maintenance, and repair workers.......................","363,490",24.70,"51,380",22.58
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................","Coin, vending, and amusement machine servicers and repairers.....................","28,260",23.33,"48,530",22.77
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Commercial divers................................................................,"3,430",37.55,"78,110",29.39
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Locksmiths and safe repairers....................................................,"15,550",26.54,"55,200",24.27
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Manufactured building and mobile home installers.................................,"2,610",20.49,"42,620",19.75
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Riggers..........................................................................,"24,190",32.02,"66,600",29.84
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................",Signal and track switch repairers................................................,"8,210",40.84,"84,940",40.19
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................","Helpers--installation, maintenance, and repair workers...........................","97,540",19.59,"40,750",18.68
"Installation, maintenance, and repair occupations","Other installation, maintenance, and repair occupations............................","Installation, maintenance, and repair workers, all other.........................","183,690",25.61,"53,270",23.39
Production occupations,,,"8,743,450",24.08,"50,090",22.09
Production occupations,Supervisors of production workers..................................................,,"685,140",35.84,"74,540",34.23
Production occupations,Supervisors of production workers..................................................,First-line supervisors of production and operating workers........................,"685,140",35.84,"74,540",34.23
Production occupations,Assemblers and fabricators.........................................................,,"1,874,550",22.06,"45,890",20.95
Production occupations,Assemblers and fabricators.........................................................,"Aircraft structure, surfaces, rigging, and systems assemblers.....................","32,890",31.98,"66,510",29.65
Production occupations,Assemblers and fabricators.........................................................,"Electrical, electronics, and electromechanical assemblers.........................","273,300",22.15,"46,070",21.26
Production occupations,Assemblers and fabricators.........................................................,"Coil winders, tapers, and finishers..............................................","12,170",23.53,"48,940",22.72
Production occupations,Assemblers and fabricators.........................................................,"tapers, and finishers...........................................................","261,140",22.08,"45,930",21.17
Production occupations,Assemblers and fabricators.........................................................,Engine and other machine assemblers...............................................,"38,420",26.94,"56,040",25.26
Production occupations,Assemblers and fabricators.........................................................,Structural metal fabricators and fitters..........................................,"53,380",25.36,"52,740",23.99
Production occupations,Assemblers and fabricators.........................................................,Fiberglass laminators and fabricators.............................................,"18,520",22.75,"47,320",22.00
Production occupations,Assemblers and fabricators.........................................................,Timing device assemblers and adjusters............................................,230,20.39,"42,410",19.61
Production occupations,Assemblers and fabricators.........................................................,Miscellaneous assemblers and fabricators..........................................,"1,457,800",21.57,"44,860",20.29
Production occupations,Food processing workers............................................................,,"857,260",19.27,"40,090",18.37
Production occupations,Food processing workers............................................................,Bakers............................................................................,"231,890",18.11,"37,670",17.62
Production occupations,Food processing workers............................................................,"Butchers and other meat, poultry, and fish processing workers.....................","348,630",19.28,"40,110",18.51
Production occupations,Food processing workers............................................................,Butchers and meat cutters........................................................,"140,040",19.86,"41,300",18.73
Production occupations,Food processing workers............................................................,"Meat, poultry, and fish cutters and trimmers.....................................","141,090",18.58,"38,640",18.13
Production occupations,Food processing workers............................................................,Slaughterers and meat packers....................................................,"67,500",19.57,"40,710",19.13
Production occupations,Food processing workers............................................................,Miscellaneous food processing workers.............................................,"276,740",20.23,"42,090",19.26
Production occupations,Food processing workers............................................................,"Food and tobacco roasting, baking, and drying machine operators and tenders......","19,500",21.22,"44,140",20.54
Production occupations,Food processing workers............................................................,Food batchmakers.................................................................,"171,660",20.59,"42,830",19.61
Production occupations,Food processing workers............................................................,Food cooking machine operators and tenders.......................................,"27,660",20.16,"41,930",19.49
Production occupations,Food processing workers............................................................,"Food processing workers, all other...............................................","57,920",18.88,"39,260",18.47
Production occupations,Metal workers and plastic workers..................................................,,"1,599,780",25.02,"52,050",23.39
Production occupations,Metal workers and plastic workers..................................................,"Forming machine setters, operators, and tenders, metal and plastic................","96,810",23.59,"49,060",22.82
Production occupations,Metal workers and plastic workers..................................................,"Extruding and drawing machine setters, operators, and tenders, metal and plastic.","65,700",23.16,"48,170",22.59
Production occupations,Metal workers and plastic workers..................................................,"Forging machine setters, operators, and tenders, metal and plastic...............","8,760",24.47,"50,900",23.67
Production occupations,Metal workers and plastic workers..................................................,"Rolling machine setters, operators, and tenders, metal and plastic...............","22,350",24.49,"50,940",23.38
Production occupations,Metal workers and plastic workers..................................................,"Machine tool cutting setters, operators, and tenders, metal and plastic...........","282,640",22.84,"47,500",22.05
Production occupations,Metal workers and plastic workers..................................................,plastic.........................................................................,"174,430",22.62,"47,060",21.92
Production occupations,Metal workers and plastic workers..................................................,plastic.........................................................................,"5,310",24.20,"50,330",22.42
Production occupations,Metal workers and plastic workers..................................................,"and tenders, metal and plastic..................................................","70,110",22.41,"46,600",21.73
Production occupations,Metal workers and plastic workers..................................................,plastic.........................................................................,"18,970",24.13,"50,190",23.38
Production occupations,Metal workers and plastic workers..................................................,"Milling and planing machine setters, operators, and tenders, metal and plastic...","13,810",25.45,"52,940",23.22
Production occupations,Metal workers and plastic workers..................................................,Machinists........................................................................,"298,790",27.59,"57,390",27.00
Production occupations,Metal workers and plastic workers..................................................,"Metal furnace operators, tenders, pourers, and casters............................","26,160",26.91,"55,960",26.01
Production occupations,Metal workers and plastic workers..................................................,Metal-refining furnace operators and tenders.....................................,"20,330",27.55,"57,290",26.81
Production occupations,Metal workers and plastic workers..................................................,"Pourers and casters, metal.......................................................","5,830",24.68,"51,320",23.53
Production occupations,Metal workers and plastic workers..................................................,"Model makers and patternmakers, metal and plastic.................................","4,800",30.41,"63,250",28.62
Production occupations,Metal workers and plastic workers..................................................,"Model makers, metal and plastic..................................................","3,230",31.65,"65,840",30.14
Production occupations,Metal workers and plastic workers..................................................,"Patternmakers, metal and plastic.................................................","1,570",27.85,"57,930",26.22
Production occupations,Metal workers and plastic workers..................................................,"Molders and molding machine setters, operators, and tenders, metal and plastic....","167,540",21.32,"44,340",20.14
Production occupations,Metal workers and plastic workers..................................................,Foundry mold and coremakers......................................................,"12,720",22.55,"46,910",21.97
Production occupations,Metal workers and plastic workers..................................................,and plastic.....................................................................,"154,820",21.22,"44,130",19.82
Production occupations,Metal workers and plastic workers..................................................,"Multiple machine tool setters, operators, and tenders, metal and plastic..........","129,850",23.36,"48,590",22.14
Production occupations,Metal workers and plastic workers..................................................,Tool and die makers...............................................................,"55,130",31.30,"65,100",30.38
Production occupations,Metal workers and plastic workers..................................................,"Welding, soldering, and brazing workers...........................................","460,340",26.27,"54,640",24.31
Production occupations,Metal workers and plastic workers..................................................,"Welders, cutters, solderers, and brazers.........................................","424,040",26.49,"55,100",24.52
Production occupations,Metal workers and plastic workers..................................................,"Welding, soldering, and brazing machine setters, operators, and tenders..........","36,290",23.69,"49,270",22.62
Production occupations,Metal workers and plastic workers..................................................,Miscellaneous metal workers and plastic workers...................................,"77,710",22.84,"47,500",21.66
Production occupations,Metal workers and plastic workers..................................................,"Heat treating equipment setters, operators, and tenders, metal and plastic.......","14,590",23.57,"49,030",22.81
Production occupations,Metal workers and plastic workers..................................................,"Layout workers, metal and plastic................................................","5,610",31.62,"65,770",29.74
Production occupations,Metal workers and plastic workers..................................................,"Plating machine setters, operators, and tenders, metal and plastic...............","31,510",21.07,"43,820",20.00
Production occupations,Metal workers and plastic workers..................................................,"Tool grinders, filers, and sharpeners............................................","5,730",24.90,"51,790",23.54
Production occupations,Metal workers and plastic workers..................................................,"Metal workers and plastic workers, all other.....................................","20,270",22.05,"45,850",20.56
Production occupations,Printing workers...................................................................,,"204,640",22.24,"46,260",21.55
Production occupations,Printing workers...................................................................,Printing workers..................................................................,"204,640",22.24,"46,260",21.55
Production occupations,Printing workers...................................................................,Prepress technicians and workers.................................................,"23,070",23.62,"49,130",22.74
Production occupations,Printing workers...................................................................,Printing press operators.........................................................,"145,110",22.41,"46,620",21.71
Production occupations,Printing workers...................................................................,Print binding and finishing workers..............................................,"36,470",20.69,"43,040",19.14
Production occupations,"Textile, apparel, and furnishings workers..........................................",,"464,330",17.78,"36,970",17.11
Production occupations,"Textile, apparel, and furnishings workers..........................................",Laundry and dry-cleaning workers..................................................,"195,360",16.34,"33,990",16.25
Production occupations,"Textile, apparel, and furnishings workers..........................................","Pressers, textile, garment, and related materials.................................","26,830",16.04,"33,370",16.29
Production occupations,"Textile, apparel, and furnishings workers..........................................",Sewing machine operators..........................................................,"109,590",17.64,"36,680",17.31
Production occupations,"Textile, apparel, and furnishings workers..........................................",Shoe and leather workers..........................................................,"10,910",17.58,"36,560",17.53
Production occupations,"Textile, apparel, and furnishings workers..........................................",Shoe and leather workers and repairers...........................................,"7,640",17.44,"36,280",17.29
Production occupations,"Textile, apparel, and furnishings workers..........................................",Shoe machine operators and tenders...............................................,"3,270",17.90,"37,230",18.35
Production occupations,"Textile, apparel, and furnishings workers..........................................","Tailors, dressmakers, and sewers..................................................","18,540",20.64,"42,930",19.03
Production occupations,"Textile, apparel, and furnishings workers..........................................","Sewers, hand.....................................................................","2,240",16.74,"34,810",16.23
Production occupations,"Textile, apparel, and furnishings workers..........................................","Tailors, dressmakers, and custom sewers..........................................","16,290",21.18,"44,050",19.64
Production occupations,"Textile, apparel, and furnishings workers..........................................","Textile machine setters, operators, and tenders...................................","49,910",18.66,"38,820",18.17
Production occupations,"Textile, apparel, and furnishings workers..........................................",Textile bleaching and dyeing machine operators and tenders.......................,"5,820",18.75,"39,000",17.94
Production occupations,"Textile, apparel, and furnishings workers..........................................","Textile cutting machine setters, operators, and tenders..........................","8,960",18.51,"38,500",18.24
Production occupations,"Textile, apparel, and furnishings workers..........................................","Textile knitting and weaving machine setters, operators, and tenders.............","14,530",18.97,"39,470",18.40
Production occupations,"Textile, apparel, and furnishings workers..........................................",tenders.........................................................................,"20,600",18.48,"38,440",18.11
Production occupations,"Textile, apparel, and furnishings workers..........................................","Miscellaneous textile, apparel, and furnishings workers...........................","53,200",22.42,"46,630",21.00
Production occupations,"Textile, apparel, and furnishings workers..........................................",glass fibers....................................................................,"14,900",22.80,"47,420",21.63
Production occupations,"Textile, apparel, and furnishings workers..........................................",Fabric and apparel patternmakers.................................................,"2,860",34.44,"71,630",32.54
Production occupations,"Textile, apparel, and furnishings workers..........................................",Upholsterers.....................................................................,"20,990",22.58,"46,960",22.21
Production occupations,"Textile, apparel, and furnishings workers..........................................","Textile, apparel, and furnishings workers, all other.............................","14,450",19.43,"40,410",17.79
Production occupations,Woodworkers........................................................................,,"207,380",21.40,"44,520",20.98
Production occupations,Woodworkers........................................................................,Cabinetmakers and bench carpenters................................................,"79,540",22.82,"47,460",22.12
Production occupations,Woodworkers........................................................................,Furniture finishers...............................................................,"14,230",21.31,"44,310",20.45
Production occupations,Woodworkers........................................................................,"Model makers and patternmakers, wood..............................................",530,28.44,"59,160",24.96
Production occupations,Woodworkers........................................................................,"Model makers, wood...............................................................",360,28.74,"59,780",24.93
Production occupations,Woodworkers........................................................................,"Patternmakers, wood..............................................................",180,27.84,"57,920",25.25
Production occupations,Woodworkers........................................................................,"Woodworking machine setters, operators, and tenders...............................","106,490",20.35,"42,330",19.38
Production occupations,Woodworkers........................................................................,"Sawing machine setters, operators, and tenders, wood.............................","43,140",20.38,"42,390",19.21
Production occupations,Woodworkers........................................................................,"Woodworking machine setters, operators, and tenders, except sawing...............","63,350",20.33,"42,290",19.44
Production occupations,Woodworkers........................................................................,"Woodworkers, all other............................................................","6,590",21.03,"43,730",19.82
Production occupations,Plant and system operators.........................................................,,"287,720",36.29,"75,480",34.01
Production occupations,Plant and system operators.........................................................,"Power plant operators, distributors, and dispatchers..............................","45,630",49.09,"102,100",49.81
Production occupations,Plant and system operators.........................................................,Nuclear power reactor operators..................................................,"5,720",59.05,"122,830",58.95
Production occupations,Plant and system operators.........................................................,Power distributors and dispatchers...............................................,"9,180",52.70,"109,620",51.56
Production occupations,Plant and system operators.........................................................,Power plant operators............................................................,"30,720",46.15,"95,990",47.92
Production occupations,Plant and system operators.........................................................,Stationary engineers and boiler operators.........................................,"30,780",38.32,"79,710",36.15
Production occupations,Plant and system operators.........................................................,Water and wastewater treatment plant and system operators.........................,"126,750",29.15,"60,620",28.01
Production occupations,Plant and system operators.........................................................,Miscellaneous plant and system operators..........................................,"84,560",39.35,"81,840",39.39
Production occupations,Plant and system operators.........................................................,Chemical plant and system operators..............................................,"17,840",36.68,"76,290",35.35
Production occupations,Plant and system operators.........................................................,Gas plant operators..............................................................,"15,910",41.09,"85,470",40.10
